NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300678,2018,28,,10,43320,NULL,,,,
300680,2017,25,,11,42956,NULL,,O,,
300684,2017,40,,7,42956,NULL,,,,
300692,2017,28,,9,42956,NULL,,,,
300692,2018,28,,10,43320,NULL,,,,
300695,2017,23,,9,42956,NULL,,,,
300695,2018,23,,10,43320,NULL,,I,,
300700,2018,28,,9,43320,NULL,,,,
300701,2017,40,,7,42956,NULL,,,,
300703,2017,22,,10,42956,NULL,,,,
300706,2017,40,,7,43118,NULL,,,,
300707,2017,28,,9,42956,NULL,,,,
300707,2018,28,,10,43320,NULL,,,,
300716,2017,22,,10,42956,NULL,,,,
300717,2017,22,,9,42956,NULL,,,,
300717,2018,22,,10,43320,NULL,,,,
300718,2017,23,,11,42956,NULL,,,,
300722,2017,27,,9,42956,NULL,,O,,3.07E+13
300722,2018,27,,10,43320,NULL,,O,,3.07E+13
300723,2017,23,,11,42956,NULL,,,,
300727,2017,20,,11,42956,NULL,,,,
300728,2017,25,,9,42956,NULL,,,,
300728,2018,25,,10,43320,NULL,,,,
300730,2017,20,,9,42956,NULL,,,,
300730,2018,20,,10,43320,NULL,,,,
300737,2018,23,,9,43320,NULL,,,,
300738,2017,24,,11,43164,NULL,,,,
300739,2018,40,,7,43320,NULL,,,,
300742,2018,23,,9,43320,NULL,,,,
300752,2017,27,,11,43136,NULL,,,,
300760,2017,32,,7,42956,NULL,,,,
300770,2018,42,,7,43320,NULL,,X,,
300771,2017,28,,9,42956,NULL,,,,
300771,2018,28,,10,43320,NULL,,,,
300773,2017,20,,10,42956,NULL,,,,
300773,2018,20,,11,43320,NULL,,,,
300784,2018,31,,7,43320,NULL,,,,
300792,2018,34,S,7,43320,NULL,,S,,
300799,2018,28,,11,43479,NULL,,,,
300800,2017,44,,7,42956,NULL,,,,
300801,2018,35,,7,43320,NULL,,,,
300803,2017,21,,9,42956,NULL,,,,
300803,2018,21,,10,43320,NULL,,,,
300806,2018,28,,9,43357,NULL,,,,
300811,2017,32,,7,42956,NULL,,,,
300814,2018,34,,7,43320,NULL,,O,,3.07E+13
300817,2018,24,,9,43320,NULL,,,,
300826,2018,44,,7,43320,NULL,,,,
300827,2017,20,,9,42956,NULL,,,,
300827,2018,20,,10,43320,NULL,,,,
300830,2017,37,,7,42956,NULL,,,,
300831,2017,22,,9,42956,NULL,,,,
300831,2018,22,,10,43320,NULL,,,,
300834,2017,27,S,11,42956,NULL,,,,
300835,2017,28,,9,42956,NULL,,,,
300835,2018,28,,10,43320,NULL,,,,
300842,2018,681,S,9,43592,NULL,,,,
300844,2017,21,,11,42956,NULL,,,,
300845,2017,20,,9,42956,NULL,,,,
300845,2018,20,,10,43320,NULL,,,,
300856,2018,271,I,9,43375,NULL,,,,
300858,2018,28,,9,43320,NULL,,,,
300866,2017,20,,11,42956,NULL,,,,
300873,2017,21,,9,42956,NULL,,I,,
300873,2018,21,,10,43320,NULL,,I,,
300878,2017,28,,11,42956,NULL,,,,
300880,2017,27,,10,42956,NULL,,,,
300880,2018,27,,11,43320,NULL,,,,
300882,2018,21,,10,43320,NULL,,,,
300888,2017,38,,7,42956,NULL,,,,
300891,2017,25,,10,42956,NULL,,,,
300891,2018,25,,11,43320,NULL,,,,
300893,2018,27,,9,43320,NULL,,,,
300894,2018,44,,7,43320,NULL,,,,
300897,2017,28,,9,42956,NULL,,,,
300897,2018,28,,10,43320,NULL,,,,
300898,2017,23,,9,42956,NULL,,,,
300898,2018,23,,10,43320,NULL,,,,
300900,2017,44,,7,42956,NULL,,X,,
300901,2018,25,,9,43522,NULL,,,,
300903,2018,31,,7,43320,NULL,,O,,3.07E+13
300906,2017,23,,9,42956,NULL,,,,
300911,2017,42,,11,42956,NULL,,,,
300911,2018,42,,12,43320,NULL,,,,
300913,2017,27,,11,42956,NULL,,O,,3.07E+13
300920,2017,44,,7,42956,NULL,,,,
300921,2018,42,,7,43320,NULL,,X,,3.07E+13
300923,2017,28,,9,42956,NULL,,O,,3.07E+13
300923,2018,28,,10,43320,NULL,,O,,3.07E+13
300936,2018,22,,9,43320,NULL,,,,
300943,2018,20,,9,43320,NULL,,O,,3.07E+13
300944,2018,22,,9,43320,NULL,,,,
300949,2018,44,,7,43320,NULL,,,,
300950,2017,35,,7,42956,NULL,,,,
300952,2018,22,,9,43320,NULL,,,,
300954,2017,22,,9,42956,NULL,,,,
300954,2018,22,,10,43320,NULL,,,,
300958,2018,20,,9,43320,NULL,,,,
300959,2017,21,,9,42956,NULL,,,,
300959,2018,21,,10,43320,NULL,,,,
300961,2017,23,,9,42956,NULL,,,,
300961,2018,23,,10,43320,NULL,,,,
300963,2017,23,,11,42956,NULL,,,,
